time,open,high,low,close,tick_volume,spread,real_volume
2025-11-26 23:00:00,4164.682,4168.944,4162.547,4165.012,7030,160,0
2025-11-27 00:00:00,4164.965,4167.313,4161.935,4164.59,6810,160,0
2025-11-27 01:00:00,4164.569,4165.439,4148.719,4154.274,19711,160,0
2025-11-27 02:00:00,4154.308,4156.239,4144.543,4145.45,13749,160,0
2025-11-27 03:00:00,4145.447,4150.61,4144.145,4147.464,9974,160,0
2025-11-27 04:00:00,4147.42,4154.6,4142.601,4150.899,9403,160,0
2025-11-27 05:00:00,4150.855,4154.715,4144.706,4147.223,9614,160,0
2025-11-27 06:00:00,4147.187,4159.197,4147.108,4157.472,13082,160,0
2025-11-27 07:00:00,4157.447,4162.288,4155.52,4160.009,12971,160,0
2025-11-27 08:00:00,4160.059,4167.143,4159.523,4165.802,11608,160,0
2025-11-27 09:00:00,4165.763,4165.866,4148.261,4158.696,14473,160,0
2025-11-27 10:00:00,4158.73,4160.545,4152.288,4156.479,10441,160,0
2025-11-27 11:00:00,4156.432,4162.518,4155.782,4157.328,8465,160,0
2025-11-27 12:00:00,4157.352,4159.242,4153.517,4154.127,7210,160,0
2025-11-27 13:00:00,4154.152,4158.023,4149.176,4154.976,15579,160,0
2025-11-27 14:00:00,4155.031,4160.722,4152.724,4153.401,12702,160,0
2025-11-27 15:00:00,4153.351,4161.86,4152.96,4158.056,8724,160,0
2025-11-27 16:00:00,4158.005,4158.418,4151.443,4156.378,7249,160,0
2025-11-27 17:00:00,4156.404,4159.221,4154.705,4157.705,4661,160,0
2025-11-27 18:00:00,4157.68,4159.767,4155.85,4159.146,3886,160,0
2025-11-27 19:00:00,4159.154,4160.413,4157.116,4157.116,1824,160,0
2025-11-27 23:00:00,4160.413,4164.01,4158.299,4163.431,4635,160,0
2025-11-28 00:00:00,4163.371,4183.447,4163.093,4180.576,13566,160,0
2025-11-28 01:00:00,4180.551,4193.052,4180.507,4191.08,14194,160,0
2025-11-28 02:00:00,4191.047,4192.051,4185.747,4189.337,9087,160,0
2025-11-28 03:00:00,4189.379,4191.831,4182.805,4184.227,5343,160,0
2025-11-28 04:00:00,4184.232,4188.68,4178.516,4188.383,6979,160,0
2025-11-28 05:00:00,4188.382,4188.862,4155.874,4182.498,9498,160,0
2025-11-28 06:00:00,4182.549,4188.684,4181.704,4187.604,4679,160,0
2025-11-28 07:00:00,4187.564,4187.802,4174.252,4174.631,3387,160,0
2025-11-28 08:00:00,4174.635,4179.939,4147.529,4168.079,303,160,0
2025-11-28 09:00:00,4168.557,4169.909,4157.634,4166.643,41902,320,0
2025-11-28 10:00:00,4166.652,4178.416,4160.879,4163.851,4837,160,0
2025-11-28 11:00:00,4163.79,4179.919,4162.979,4172.019,9413,160,0
2025-11-28 12:00:00,4171.98,4178.25,4168.712,4176.618,5006,160,0
2025-11-28 13:00:00,4176.622,4182.824,4168.89,4182.486,8172,160,0
2025-11-28 14:00:00,4182.526,4208.978,4182.526,4198.201,23765,160,0
2025-11-28 15:00:00,4198.175,4203.974,4185.674,4203.639,20478,160,0
2025-11-28 16:00:00,4203.609,4210.802,4197.605,4206.189,16469,160,0
2025-11-28 17:00:00,4206.213,4216.955,4204.361,4216.919,14006,160,0
2025-11-28 18:00:00,4216.894,4226.479,4211.043,4220.425,14231,160,0
2025-11-28 19:00:00,4220.416,4222.043,4216.121,4219.163,6746,160,0
2025-11-30 23:00:00,4219.988,4225.308,4205.841,4221.933,15689,160,0
2025-12-01 00:00:00,4221.906,4233.717,4218.245,4230.861,14414,160,0
2025-12-01 01:00:00,4230.837,4256.15,4219.735,4255.34,30298,160,0
2025-12-01 02:00:00,4255.314,4256.447,4234.28,4242.737,23215,160,0
2025-12-01 03:00:00,4242.688,4243.897,4232.526,4239.35,16453,160,0
2025-12-01 04:00:00,4239.307,4246.989,4236.342,4245.67,9437,160,0
2025-12-01 05:00:00,4245.694,4246.508,4215.434,4229.564,24026,160,0
2025-12-01 06:00:00,4229.592,4240.535,4226.22,4236.985,13939,160,0
2025-12-01 07:00:00,4237.022,4246.442,4231.86,4245.32,12746,160,0
2025-12-01 08:00:00,4245.286,4253.529,4238.44,4244.714,14229,160,0
2025-12-01 09:00:00,4244.746,4251.701,4243.677,4250.002,11206,160,0
2025-12-01 10:00:00,4250.006,4262.278,4249.122,4255.518,13852,160,0
2025-12-01 11:00:00,4255.585,4258.42,4248.325,4254.634,11004,160,0
2025-12-01 12:00:00,4254.639,4256.529,4244.276,4246.508,15026,160,0
2025-12-01 13:00:00,4246.482,4264.532,4245.498,4247.304,21388,160,0
2025-12-01 14:00:00,4247.33,4249.368,4219.675,4240.225,34104,160,0
2025-12-01 15:00:00,4240.185,4244.995,4219.589,4232.518,34144,160,0
2025-12-01 16:00:00,4232.589,4242.296,4224.958,4226.233,30717,160,0
2025-12-01 17:00:00,4226.259,4240.07,4223.127,4232.432,25384,160,0
2025-12-01 18:00:00,4232.474,4244.713,4232.474,4240.227,18498,160,0
2025-12-01 19:00:00,4240.259,4243.87,4229.171,4236.851,18562,160,0
2025-12-01 20:00:00,4236.875,4241.542,4234.443,4237.363,14829,160,0
2025-12-01 21:00:00,4237.325,4240.64,4230.304,4231.914,7496,160,0
2025-12-01 23:00:00,4231.662,4236.006,4224.423,4227.7,12668,160,0
2025-12-02 00:00:00,4227.704,4229.766,4221.405,4226.932,14074,160,0
2025-12-02 01:00:00,4226.844,4227.306,4191.183,4219.611,37739,160,0
2025-12-02 02:00:00,4219.585,4224.7,4214.291,4221.522,16945,160,0
2025-12-02 03:00:00,4221.557,4226.228,4215.725,4216.858,13146,160,0
2025-12-02 04:00:00,4216.813,4220.634,4213.586,4218.768,10367,160,0
2025-12-02 05:00:00,4218.709,4225.441,4215.182,4224.931,12951,160,0
2025-12-02 06:00:00,4224.97,4226.316,4203.258,4212.745,18895,160,0
2025-12-02 07:00:00,4212.719,4219.395,4209.598,4213.307,11786,160,0
2025-12-02 08:00:00,4213.386,4217.2,4207.135,4210.26,13192,160,0
2025-12-02 09:00:00,4210.295,4213.227,4180.945,4191.801,21803,160,0
2025-12-02 10:00:00,4191.792,4192.327,4182.241,4185.714,14322,160,0
2025-12-02 11:00:00,4185.682,4205.789,4184.795,4205.288,11078,160,0
2025-12-02 12:00:00,4205.254,4209.891,4201.055,4208.688,10468,160,0
2025-12-02 13:00:00,4208.68,4215.271,4202.044,4212.283,20844,160,0
2025-12-02 14:00:00,4212.305,4230.859,4212.213,4218.919,36672,160,0
